seller_id,seller_city,seller_state,total_orders,total_revenue,avg_review_score,avg_delivery_days,cancellation_rate,on_time_rate,cluster,grade,segment
e8b3a3a38279a82f0e5d006d5e5b7d2c,jussara,PR,87,15141.0,3.74,16.5,0.0,88.17,3,A,Premium
a6bd7d1ccdac48c6b33b28596b7eb122,mamanguape,PB,16,15052.0,3.33,15.3,0.0,81.25,2,B,Stable
ef506c96320abeedfb894c34db06f478,sao paulo,SP,324,15049.0,3.9,12.8,0.29,89.15,3,A,Premium
0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,51,15010.0,3.49,16.9,0.0,87.18,2,B,Stable
9e6229250fedbe05838fef417b74e7fb,mirandopolis,SP,74,14989.0,3.9,11.3,0.0,94.87,3,A,Premium
1ca7077d890b907f89be8c954a02686a,santana de parnaiba,SP,115,14986.0,2.2,14.5,0.0,74.45,0,D,At Risk
e26901d5ab434ce92fd9b5c256820a4e,maua,SP,202,14973.0,4.06,8.8,0.45,95.02,3,A,Premium
d50d79cb34e38265a8649c383dcffd48,sao paulo,SP,70,14947.0,4.25,12.6,0.0,92.86,2,B,Stable
ce7d1888639e6fb06b2749cbfdac1ff7,baependi,MG,78,14881.0,4.11,13.7,0.0,91.67,2,B,Stable
813348c996469b40f2e028d5429d3495,jundiai,SP,179,14808.0,4.0,9.7,0.0,92.08,3,A,Premium
